date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2015-02-15,Maize - Wholesale,100 KG,cereals and tubers,125.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2015-03-15,Maize - Wholesale,100 KG,cereals and tubers,121.25,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2015-04-15,Maize - Wholesale,100 KG,cereals and tubers,122.5,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2015-05-15,Maize - Wholesale,100 KG,cereals and tubers,134.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2015-06-15,Maize - Wholesale,100 KG,cereals and tubers,142.5,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2015-07-15,Maize - Wholesale,100 KG,cereals and tubers,151.25,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2015-10-15,Maize - Wholesale,100 KG,cereals and tubers,144.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2015-11-15,Maize - Wholesale,100 KG,cereals and tubers,145.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2015-12-15,Maize - Wholesale,100 KG,cereals and tubers,145.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2016-01-15,Maize - Wholesale,100 KG,cereals and tubers,141.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2016-02-15,Maize - Wholesale,100 KG,cereals and tubers,142.5,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2016-03-15,Maize - Wholesale,100 KG,cereals and tubers,145.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2016-04-15,Maize - Wholesale,100 KG,cereals and tubers,148.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2016-05-15,Maize - Wholesale,100 KG,cereals and tubers,151.25,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2016-06-15,Maize - Wholesale,100 KG,cereals and tubers,168.75,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2016-07-15,Maize - Wholesale,100 KG,cereals and tubers,175.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2016-08-15,Maize - Wholesale,100 KG,cereals and tubers,157.5,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2016-09-15,Maize - Wholesale,100 KG,cereals and tubers,147.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2016-11-15,Maize - Wholesale,100 KG,cereals and tubers,77.5,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2016-12-15,Maize - Wholesale,100 KG,cereals and tubers,124.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2017-01-15,Maize - Wholesale,100 KG,cereals and tubers,126.5,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2017-02-15,Maize - Wholesale,100 KG,cereals and tubers,130.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2017-03-15,Maize - Wholesale,100 KG,cereals and tubers,125.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2017-04-15,Maize - Wholesale,100 KG,cereals and tubers,115.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2017-05-15,Maize - Wholesale,100 KG,cereals and tubers,140.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2017-06-15,Maize - Wholesale,100 KG,cereals and tubers,160.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2017-07-15,Maize - Wholesale,100 KG,cereals and tubers,200.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2017-10-15,Maize - Wholesale,100 KG,cereals and tubers,153.3333,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2017-11-15,Maize - Wholesale,100 KG,cereals and tubers,110.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2017-12-15,Maize - Wholesale,100 KG,cereals and tubers,116.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2018-01-15,Maize - Wholesale,100 KG,cereals and tubers,116.01,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2018-02-15,Maize - Wholesale,100 KG,cereals and tubers,150.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2018-03-15,Maize - Wholesale,100 KG,cereals and tubers,158.1667,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2018-04-15,Maize - Wholesale,100 KG,cereals and tubers,147.5629,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2014-04-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,220.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2014-05-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,220.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2014-06-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,220.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2014-07-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,220.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2014-08-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,250.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2014-09-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,272.5,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2014-10-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,272.5,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2014-11-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,280.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2014-12-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,280.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2015-01-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,280.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2015-02-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,280.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2015-03-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,280.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2015-04-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,280.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2015-05-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,280.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2015-06-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,280.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
